ЧИСЛИТЕЛЬ

Первая подгруппа

Понедельник
1) Английский язык (411),2) История (411),3) Архитектура ЭВМ (Л) (208),4) Информационные технологии (П) (116),
Вторник
1) Информационные технологии (П) (116),2) Учебная практика (107),3) Элементы матем. логики (243),4) Архитектура ЭВМ (П) (208),
Среда
1) Физкультура,2) Элементы высшей математики (411),3) Английский язык (ВРК-138),,
Четверг
1) Учебная практика (107),2) Теория алгоритмов (П) (116),,,,
Пятница
1) Архитектура ЭВМ (Л) (310),2) Элементы высшей математики (310),,,
Суббота
1) Теория алгоритмов (Л) (114),2) Элементы матем. логики,3) Информационные технологии (Л) (116),,

Вторая подгруппа

Понедельник
1) ,2) История (411),3) Архитектура ЭВМ (Л) (208),4) Архитектура ЭВМ (П) (208),5) Архитектура ЭВМ (П) (208),
Вторник
1) Учебная практика (107),2) Информационные технологии (П) (116),3) Элементы матем. логики (243),,
Среда
1) Физкультура,2) Элементы высшей математики (411),3) Учебная практика (208),,
Четверг
1) ,2) Учебная практика (107),3) Теория алгоритмов (П) (116),,
Пятница
1) Архитектура ЭВМ (Л) (310),2) Элементы высшей математики (310),,
Суббота
1) Теория алгоритмов (Л) (114),2) Элементы матем. логики (318),3) Информационные технологии (Л) (116),4) Информационные технологии (П) (116),,

ЗНАМЕНАТЕЛЬ

Первая подгруппа

Понедельник
1) ,2) История (238),3) Архитектура ЭВМ (Л) (208),4) Архитектура ЭВМ (П) (208),5) Архитектура ЭВМ (П) (208),
Вторник
1) Учебная практика (107),2) Учебная практика (107),3) Элементы матем. логики (243),,
Среда
1) Физкультура,2) Элементы высшей математики (411),3) Учебная практика (208),,
Четверг
1) Учебная практика (107),2) Теория алгоритмов (П) (116),,,,
Пятница
1) История (321),2) Элементы матем. логики (310),,,
Суббота
1) Теория алгоритмов (Л) (114),2) Элементы матем. логики (318),3) Информационные технологии (Л) (116),4) Информационные технологии (П) (116),

Вторая подгруппа

Понедельник
1) Английский язык (208),2) История (238),3) Архитектура ЭВМ (Л) (208),4) Информационные технологии (П) (116),,
Вторник
1) Информационные технологии (П) (116),2) Информационные технологии (П) (116),3) Элементы матем. логики (243),4) Архитектура ЭВМ (П) (208),,
Среда
1) Физкультура,2) Элементы высшей математики (411),3) Английский язык (138),,
Четверг
1) ,2) Учебная практика (107),3) Теория алгоритмов (П) (116),,
Пятница
1) История (321),2) Элементы матем. логики (310),,,
Суббота
1) Теория алгоритмов (Л) (114),2) Элементы матем. логики (318),3) Информационные технологии (Л) (116),,,


